Name,Male,Male2,Female,Main
Милан,Миланович,, Миланівна,
Милій,Милійович,, Миліївна,
Милослав,Милославович,, Милославівна,
Мин,Минович,, Минівна,
Мирон,Миронович,, Миронівна,
Мирослав,Мирославович,, Мирославівна,
Мисаїл,Мисаїлович,, Мисаїлівна,
Митрофан,Митрофанович,, Митрофанівна,
Михайло,Михайлович,, Михайлівна,
Михей,Михейович,, Михеївна,
Модест,Модестович,, Модестівна,
Мойсей,Мойсейович,, Мойсеївна,Мусій
Мокій,Мокійович,, Мокіївна,
Мстислав,Мстиславович,, Мстиславівна,
Мусій,Мусійович,, Мусіївна,
Назарій,Назарійович,, Назаріївна,Назар
Назар,Назарович,, Назарівна,
Наркис,Наркисович,, Наркисівна,
Нарцис,Нарцисович,, Нарцисівна,Наркис
Нестір,Несторович,, Несторівна,Нестор
Нестор,Несторович,, Несторівна,
Никандр,Никандрович,, Никандрівна,
Никанор,Никанорович,, Никанорівна,
Никифор,Никифорович,, Никифорівна,
Никодим,Никодимович,, Никодимівна,
Никін,Никонович,, Никонівна,Никон
Никон,Никонович,, Никонівна,
Нил,Нилович,, Нилівна,
Нифонт,Нифонтович,, Нифонтівна,
Ничипір,Ничипорович,, Ничипорівна,Никифор
Овдій,Овдійович,, Овдіївна,
Оверкій,Оверкійович,, Оверкіївна,
Овер'ян,Овер'янович,, Овер'янівна,
Овідій,Овідійович,, Овідіївна,
Овксентій,Овксентійович,, Овксентівна,Оксентій
Овксент,Овксентович,, Овксентіївна,Оксентій
Оврам,Оврамович,, Оврамівна,Аврам
Овсій,Овсійович,, Овсіївна,
Огей,Огейович,, Огеївна,Огій
Огій,Огійович,, Огіївна,
Оксент,Оксентович,, Оксентівна,Оксентій
Оксентій,Оксентійович,, Оксентіївна,
Олег,Олегович,, Олегівна,
Олександр,Олександрович,, Олександрівна,
Олексій,Олексійович,, Олексіївна,
Олекса,Олексович,, Олексівна,Олексій
Олефір,Олефірович,, Олефірівна,
Олімпіан,Олімпіанович,, Олімпіанівна,
Олімп,Олімпович,, Олімпівна,
Омелько,Омелькович,, Омельківна,Омелян
Омелян,Омелянович,, Омелянівна,
Оникій,Оникійович,, Оникіївна,
Онисим,Онисимович,, Онисимівна,
Онисій,Онисійович,, Онисіївна,
Онопрій,Онопрійович,, Онопріївна,
Онупрій,Онупрійович,, Онупріївна,Онопрій
Онуфрій,Онуфрійович,, Онуфріївна,Онопрій
Опанас,Опанасович,, Опанасівна,Панас
Орест,Орестович,, Орестівна,
Орфей,Орфейович,, Орфеївна,
Осип,Осипович,,Осипівна,Йосип
Осія,Осійович,, Осіївна,
Оскар,Оскарович,, Оскарівна,
Остап,Остапович,, Остапівна,
Остромир,Остромирович,, Остромирівна,
Охрім,Охрімович,, Охрімівна,
Павлин,Павлинович,, Павлинівна,
Павло,Павлович,, Павлівна,
Паїсій,Паїсійович,, Паїсіївна,
Палладій,Палладійович,, Палладіївна,
Памво,Памвович,, Памвівна,
Памфіл,Памфілович,, Памфілівна,
Панас,Панасович,, Панасівна,
